Business_Name,User,Rating,Date,Review_Text,Processed_Text,Sentiment_Label,Review_Length
KFC Madurai,Sureka Sugan,1,7 months ago,Need ur contact number. Kindly update. It is not reachable. We with our family n kids came to the kfc and did online payment of 489/-which was deducted and they said it is not working and then v tried again with the another menu for 611/- paid cash. Now the online payment is deducted don’t know how to contact ur restaurant and ask v r from Bangalore. Payment details and order number is still with me. Could you please give us ur number to contact.,need ur contact number kindly update not reachable we our family n kids came kfc did online payment which deducted they said not working then v tried again another menu paid cash now online payment deducted dont know how contact ur restaurant ask v r from bangalore payment details order number still me could you please give us ur number contact,Negative,61
KFC Madurai,Monesh Kannan,1,3 months ago,"Customer service was very bad. While I was ordering at the display and discussing another item with my friend, a female cashier wearing specs rudely told us not to stand there and to go and sit. Very disappointing experience.

Very very worst that casher girl",customer service very bad while i ordering display discussing another item my friend female cashier wearing specs rudely told us not stand there go sit very disappointing experience very very worst casher girl,Negative,33
KFC Madurai,Vishy Ganesan,1,a year ago,"Ordered 12 piece strips from Zomato and add-ons of 4 dips were not added. Is this not cheating?

Zomato didn't help either, instead asked if I'm okay to receive a refund of ₹30.

Worst.",ordered piece strips from zomato addons dips were not added not cheating zomato didnt help either instead asked if im okay receive refund worst,Negative,24
KFC Madurai,Sajeevan Amar,1,6 months ago,Very crowded place. No maintenance. Chicken seemed very old. Had to wait 1 hr for a takeaway order. Would suggest Thirunagar KFC for better taste and experience,very crowded place no maintenance chicken seemed very old had wait hr takeaway order would suggest thirunagar kfc better taste experience,Negative,21
KFC Madurai,Iyshwarya Kannan,1,7 months ago,"Very poor hygiene maintained, couldn’t even step into the space where rest room and wash basin is, drenched with water and food waste.

To add to this, while customers sit and eat, they are coming and cleaning the dustbins which is already overflowing",very poor hygiene maintained couldnt even step into space where rest room wash basin drenched water food waste add while customers sit eat they coming cleaning dustbins which already overflowing,Negative,30
KFC Madurai,Saravana Kumar,1,a year ago,"One of the worst service ever,  very ppor responce from Manger & Management, they are very rude, everybody waiting more than one hour, no maintenance,
One of the worst behaviour from mr.Nerlin raj",one worst service ever very ppor responce from manger management they very rude everybody waiting more than one hour no maintenance one worst behaviour from mrnerlin raj,Negative,27
KFC Madurai,Hariharan Manikandan,1,a year ago,The chicken is masala it like give adiped chicken without frying and the popcorn chicken is just wings but torned.The service took nearly 1 hour. To just saw 10 min please wait. It is the worst KFC I went. Please see and monitor the staff KFC. The popcorn chicken they gave is all torn like this only.,chicken masala like give adiped chicken without frying popcorn chicken just wings but tornedthe service took nearly hour just saw min please wait worst kfc i went please see monitor staff kfc popcorn chicken they gave all torn like only,Negative,40
KFC Madurai,VIVEKSIDDHARTH M,4,4 years ago,"Very nice dinning good service very spicy and crispy chicken good warm welcoming customers supporting peoples nice seating arrangements. Had a lot of space between chairs just chilling ourselves made a fine day with lot of gun full-filled. Expecting home delivery service from the restaurant. However, please confirm if the service is available here?",very nice dinning good service very spicy crispy chicken good warm welcoming customers supporting peoples nice seating arrangements had lot space between chairs just chilling ourselves made fine day lot gun fullfilled expecting home delivery service from restaurant however please confirm if service available here,Positive,45
KFC Madurai,Surendar G,5,4 years ago,"After long time went for KFC taste. Foods are as usual nothing new . Hot and Crispy ,Smoky Grill all are tastes good . Dining area is neatly maintained.  Parking place also properly segregated. Background themes in the wall is quite impressive as like usual KFC restaurants. Toilet cleanliness was not good. Covid protocols were followed which is quite appreciable.
Overall Good experience .",after long time went kfc taste foods as usual nothing new hot crispy smoky grill all tastes good dining area neatly maintained parking place also properly segregated background themes wall quite impressive as like usual kfc restaurants toilet cleanliness not good covid protocols were followed which quite appreciable overall good experience,Positive,51
KFC Madurai,Manjuparkavi Rajadurai,1,6 months ago,Everytime when I order something they used to miss few items... When I register a complaint through the agent they will just simply ask us to mail them and close the complaint conversation ... Such a cheap tactics... How irresponsible the members are? Even delivery partners are fed up with ur service...,everytime when i order something they used miss few items when i register complaint through agent they will just simply ask us mail them close complaint conversation such cheap tactics how irresponsible members even delivery partners fed up ur service,Negative,40
KFC Madurai,prashanth chandar k.c.dinakaran,5,a year ago,"Large Spacious outlet...had offer of buy 1 get 1 for the day...fanatbulous deal...you guys made my day

tried classic zinger chicken burger(buy 1 get offer)",large spacious outlethad offer buy get dayfanatbulous dealyou guys made my day tried classic zinger chicken burgerbuy get offer,Positive,19
KFC Madurai,A K,4,6 years ago,"Crispy Fried Chicken & Hot wings were finger licking good.The ambiance,service were good as usual, but the parking is bit tricky they don't have a proper parking space in front of the restaurant only 2 or 3 cars can be parked at a time.",crispy fried chicken hot wings were finger licking goodthe ambianceservice were good as usual but parking bit tricky they dont have proper parking space front restaurant only cars can be parked time,Positive,32
KFC Madurai,Sharmi Vijay,1,a year ago,"Kiosk helps in ordering the food; however, you don’t get a sms or a receipt . Not sure how long we have to remember the order number.  Just to show off their metrics , they move the order number from preparing to Ready in 5 mins. But order takes like half an hour. Doesn’t seem professional like the other kfcs.

Look at how they serve the burger. Looks like some buns on the side and the bun is not even hot.",kiosk helps ordering food however you dont get sms receipt not sure how long we have remember order number just show off their metrics they move order number from preparing ready mins but order takes like half hour doesnt seem professional like other kfcs look how they serve burger looks like some buns side bun not even hot,Negative,58
KFC Madurai,Mehjabul Farooque Ak,1,7 years ago,"Very worst KFC i ever had. Ordered Big 8, 5 pc grilled, chicken longer, pepsi, and dips. Big 8 broast having too much oil. Grilled chicken is nit up to the mark. Which means masala is not proper. Looks like a local masala. They dont have garlic dips. I'm very much disappointed by having food from here. They're giving like a street food. We can't consider this as a KFC. Because they're having a very low standard attitude.",very worst kfc i ever had ordered big pc grilled chicken longer pepsi dips big broast having too much oil grilled chicken nit up mark which means masala not proper looks like local masala they dont have garlic dips im very much disappointed by having food from here theyre giving like street food we cant consider as kfc because theyre having very low standard attitude,Negative,65
KFC Madurai,Ramya,1,7 months ago,"Really disappointed with food and service, ordered two tandoori zinger meals, the fries were cold and chewy and when asked for fresh fries they almost took 20 minutes, had to walk back and forth multiple times to get fresh fries. The worst KFC I have ever been to.",really disappointed food service ordered two tandoori zinger meals fries were cold chewy when asked fresh fries they almost took minutes had walk back forth multiple times get fresh fries worst kfc i have ever been,Negative,36
KFC Madurai,SELVAPRASANTH P,5,5 years ago,Neat and clean place having beverages . Administration following social distancing measures.Yummy and tasty dishes.Nice spot for selfies and photoshoot.,neat clean place having beverages administration following social distancing measuresyummy tasty dishesnice spot selfies photoshoot,Positive,15
KFC Madurai,Shanmuganathan Chokkalingam,3,5 months ago,"The quality of food will have to be still better.
Service is not so kind.
Have to improve a lot.",quality food will have be still better service not so kind have improve lot,Neutral,14
KFC Madurai,DURGA KUMAR,5,4 years ago,Hello People❤️ Here the service and food taste too good! You can come here for friends birthday treat😂😂 and the bill amount will be the friend' gift.. Come and Have Funnnn😉 All are good👻,hello people here service food taste too good you can come here friends birthday treat bill amount will be friend gift come have funnnn all good,Positive,26
KFC Madurai,Dhanasekar Mobile,1,5 months ago,"Too much crowded, staffs not able to handle the order, was waiting for more than 30 minutes for delivery. After having food in KFC, very first time feeling stomach upset 😭😭",too much crowded staffs not able handle order waiting more than minutes delivery after having food kfc very first time feeling stomach upset,Negative,23
KFC Madurai,Scriven Glef,1,5 months ago,"Food here sucks. I've had KFCs in other places, this is the worst kfc branch 🤢. No veggies in veg burger, chicken is also usually rough. Ordered, and they missed to give us pepsi. Burger sucks fr",food here sucks ive had kfcs other places worst kfc branch no veggies veg burger chicken also usually rough ordered they missed give us pepsi burger sucks fr,Negative,28
KFC Madurai,ritu sm,1,8 months ago,"If i could give 0 star i would have !!!!
My brother has been ordering from you guys since a long long time and never once there has been an issue !!!! But dont know what happened to your QC and Quality check person ?!! He is having a severe food poisoning, he is currently admitted ! He is having an important trip to travel this month too
If he doesnt get better , you guys wont be spared !",if i could give star i would have my brother has been ordering from you guys since long long time never once there has been issue but dont know what happened your qc quality check person he having severe food poisoning he currently admitted he having important trip travel month too if he doesnt get better you guys wont be spared,Negative,61
KFC Madurai,Yoga anand,1,8 months ago,Worst delivery ultimate savings bucket missing very.........worst delivery. Worst........,worst delivery ultimate savings bucket missing veryworst delivery worst,Negative,9
KFC Madurai,Gokul S,1,4 months ago,Appalling machines that don't work (3 out of 4 tried )despite there being no other way to pay for the food with a card. Poor service overall.,appalling machines dont work out tried despite there being no other way pay food card poor service overall,Negative,18
KFC Madurai,Sri V,4,2 years ago,"KFC's claim to fame is their fried chicken, and it lives up to the hype. The chicken is known for its crispy, flavorful crust and juicy interior. The seasoning is on point, and the sides like fries and mashed potatoes are classic complements. It's a reliable and satisfying fast-food experience.

All are automated... Less interaction with the store employees.",kfcs claim fame their fried chicken lives up hype chicken known its crispy flavorful crust juicy interior seasoning point sides like fries mashed potatoes classic complements its reliable satisfying fastfood experience all automated less interaction store employees,Positive,37
KFC Madurai,Dineshdevi,5,5 months ago,Very good choice for dinner.. The homemade hash is a must.. A good varity of choice for all taste,very good choice dinner homemade hash must good varity choice all taste,Positive,12
KFC Madurai,Ajithesh Jeyapal,1,a year ago,Bypass kfc is very worst when compared to other kfc. Ordered through ZOMATO and they delivered like some leftover chickens which was cold nd dry.,bypass kfc very worst when compared other kfc ordered through zomato they delivered like some leftover chickens which cold nd dry,Negative,21
KFC Madurai,Sanjeev Kumar,3,2 years ago,The taste is ok. It is not as good as it was hyped. The place is too crowded and took 45 min for the order to arrive. The food is also half cold.,taste ok not as good as hyped place too crowded took min order arrive food also half cold,Neutral,18
KFC Madurai,sɪᴅᴅʜᴀʀᴛʜ sᴀɴᴋᴀʀ,1,a year ago,𝗧𝗵𝗲𝘆 𝘀𝗲𝗿𝘃𝗲𝗱 𝗿𝗼𝘁𝘁𝗼𝗻 𝗮𝗻𝗱 𝘀𝗽𝗼𝗶𝗹 𝗰𝗵𝗶𝗰𝗸𝗲𝗻...𝗦𝗼 𝗽𝗹𝗲𝗮𝘀𝗲 𝗱𝗼𝗻'𝘁 𝗴𝗼 𝘁𝗵𝗲𝗿𝗲 𝘁𝗼 𝗲𝗮𝘁 𝘁𝗼 𝗸𝗳𝗰 𝗰𝗵𝗶𝗰𝗸𝗲𝗻...🙏🙏🙏👎👎👎,,Negative,0
KFC Madurai,Ramsy VU3XHZ (RAMSY),2,4 months ago,"Ordering systems broken, Poor hygiene in hand wash/room area. Slow service.",ordering systems broken poor hygiene hand washroom area slow service,Negative,10
KFC Madurai,Jeffrey Aaron,1,a year ago,"I have been coming to this kfc for the past 10 years, it has become worse year on year. I feel now it’s peaked.

1. Understaffed - the one who packs, is the one who cleans the table.
2. Worst behavior - the person who cleaned swept the table and pushed the food waste on the floor, when asked to use a tray, he quoted we will finally sweep at night.
3. Dissatisfied food - few pieces were overcooked and some were undercooked. Wish the know the meaning of peri peri seasoning over the chicken, cus it was coated just on one side.
4. Unacceptable atmosphere- flies everywhere, all over the kitchen. The hand wash is the worst filled with crisp of chicken.
5. Dated payment method- only cash payment and no other payment methods.

I couldn’t take in the fact that there is no proper service/ product for the money we pay. KFC is a world wide chain, yet it is so disappointing to see this outlet perform so bad!",i have been coming kfc past years has become worse year year i feel now its peaked understaffed one who packs one who cleans table worst behavior person who cleaned swept table pushed food waste floor when asked use tray he quoted we will finally sweep night dissatisfied food few pieces were overcooked some were undercooked wish know meaning peri peri seasoning over chicken cus coated just one side unacceptable atmosphere flies everywhere all over kitchen hand wash worst filled crisp chicken dated payment method only cash payment no other payment methods i couldnt take fact there no proper service product money we pay kfc world wide chain yet so disappointing see outlet perform so bad,Negative,116
KFC Madurai,Amar Nath,3,8 months ago,There was a good meal and nice friendly service and cosy atmosphere but some kids are selling a books inside the dinning area and that kid standing next to the counter long time none of the staffs they not bothered about that but we feel uncomfortable while placing the order...,there good meal nice friendly service cosy atmosphere but some kids selling books inside dinning area kid standing next counter long time none staffs they not bothered about but we feel uncomfortable while placing order,Neutral,35
KFC Madurai,Naveen Pandian Pandiyarajan,1,11 months ago,Worst food not cleaned the hair of the chicken leg,worst food not cleaned hair chicken leg,Negative,7
KFC Madurai,Pavithra,1,6 months ago,"I placed my order a long time ago, but it hasn’t been delivered yet. I already paid through GPay. When I call, no one attends, and there’s no reply to my messages. Very worst service from KFC — they are handling things very poorly.",i placed my order long time ago but hasnt been delivered yet i already paid through gpay when i call no one attends theres no reply my messages very worst service from kfc they handling things very poorly,Negative,38
KFC Madurai,Kamal Kannan,5,3 months ago,Good service hygienic food and tast wise good,good service hygienic food tast wise good,Positive,7
KFC Madurai,Vijay Bizgurukul,5,7 months ago,Kfc bypass road madurai branch manager Mr.arun kumar way of handling customer and hospitality service towards customers is very good and appreciatable,kfc bypass road madurai branch manager mrarun kumar way handling customer hospitality service towards customers very good appreciatable,Positive,18
KFC Madurai,ArunDesai Dileep,3,Edited 2 years ago,Spacious inside but car parking only available for two cars. Food delivery time can be make even much faster. Worst service ever so much delay in food delivery. Taking around 1 hr to get the food delivered.,spacious inside but car parking only available two cars food delivery time can be make even much faster worst service ever so much delay food delivery taking around hr get food delivered,Neutral,32
KFC Madurai,SURESH BABU,5,3 years ago,I am go to first time super experience good quality and food I am watching every people eat in chicken kfc chicken family audience kids like kfc chicken 🍗🍗🍗,i am go first time super experience good quality food i am watching every people eat chicken kfc chicken family audience kids like kfc chicken,Positive,25
KFC Madurai,Surya Surya,5,7 months ago,We have a good customer service with any time customer walk with peace full customer handling with good training management,we have good customer service any time customer walk peace full customer handling good training management,Positive,16
KFC Madurai,Saravanan Setty,5,3 years ago,"Has a clean restroom, card payment option is there but if you have an international card it might not work.",has clean restroom card payment option there but if you have international card might not work,Positive,16
KFC Madurai,prabu .M,1,a year ago,Please don't trust this franchise. They deliver garbage food. They don't watch the cooking instructions given in the app.they don't care about customer health.,please dont trust franchise they deliver garbage food they dont watch cooking instructions given appthey dont care about customer health,Negative,20
KFC Madurai,aravind aravind,1,3 years ago,"Old chicken was served, we just completed...and did not make any issues... they give another chicken and asked sry.. be careful while eating",old chicken served we just completedand did not make any issues they give another chicken asked sry be careful while eating,Negative,21
KFC Madurai,rajesh kannan,1,a year ago,"Madurai bypass KFC provide poor service while billing the card payment is not available and next i ordered burger but cheese stock not available.
REPLY from KFC is has no stock due to month start .
KFC is has not proper status .
Kindly try to maintain it 🙏",madurai bypass kfc provide poor service while billing card payment not available next i ordered burger but cheese stock not available reply from kfc has no stock due month start kfc has not proper status kindly try maintain,Negative,38
KFC Madurai,Nisheed S,1,a year ago,Such disappointment- no proper staffing - only one counter working - and delivery is fully messed up - spend around 50  min for a food parcel pick up - incl waiting at the single counter,such disappointment no proper staffing only one counter working delivery fully messed up spend around min food parcel pick up incl waiting single counter,Negative,24
KFC Madurai,T Vishva,1,4 months ago,Swiggy zomato delivery patners nit responding and food not ready delay staff irresponsible worst kfc ss colony staffs,swiggy zomato delivery patners nit responding food not ready delay staff irresponsible worst kfc ss colony staffs,Negative,17
KFC Madurai,Sophia Rai,4,6 years ago,One of my fav forever KFC where ever I go first thing I do is searching of nearby KFC 😊. Service was quick though it was busy weekend. Taste is forever my best & yes I found it’s cheap.,one my fav forever kfc where ever i go first thing i do searching nearby kfc service quick though busy weekend taste forever my best yes i found its cheap,Positive,30
KFC Madurai,Hari Roshan,1,11 months ago,"It's really a bad experience. We have not gone there at any odd times or anything. We were inside kfc at 8 pm. We ordered two burgers and wings... The two burgers were very bad.... The cheese in both the burgers were frozen . They were not even melted or even heated. The fried chicken was only a little warm.The mayonnaise was very little inside the burger. Overall it was a VERY WORST EXPERIENCE.... VERY DISAPPOINTED AS A PERSON WHO'S LIVES IN CHENNAI AND HAS EXPERIENCED KFC'S SHOPS THERE...... WORST OF ALL, THE BURGERS WERE NOT EVEN STACKED ON.... THEY WERE NOT JUST RIGHT....",its really bad experience we have not gone there any odd times anything we were inside kfc pm we ordered two burgers wings two burgers were very bad cheese both burgers were frozen they were not even melted even heated fried chicken only little warmthe mayonnaise very little inside burger overall very worst experience very disappointed as person whos lives chennai has experienced kfcs shops there worst all burgers were not even stacked they were not just right,Negative,78
KFC Madurai,Sanjay,5,7 months ago,Staff handling the customer as kindly and friendly and taste atmosphere is really great I love kfc,staff handling customer as kindly friendly taste atmosphere really great i love kfc,Positive,13
KFC Madurai,Jillujillu Jillujillu,1,10 months ago,Yesterday I had to come kalavasal KFC Really worst experience.. customer dealing is not good .. cashier dealing is very worst .. really really one of my bad experience.. Customers are waiting many hours but staffs are not attending them .. I won't come again .. and can't suggest to friends and families .. I saw some customers getting anger for this 💯,yesterday i had come kalavasal kfc really worst experience customer dealing not good cashier dealing very worst really really one my bad experience customers waiting many hours but staffs not attending them i wont come again cant suggest friends families i saw some customers getting anger,Negative,46
KFC Madurai,SR_ Studioz,1,8 months ago,"I ordered and waited for 1 hour but they don't follow the bill numbers, they deliver the food wrong, KFC is very disappointing to me.",i ordered waited hour but they dont follow bill numbers they deliver food wrong kfc very disappointing me,Negative,18
KFC Madurai,Hemapriya Anandan,1,6 months ago,Please people avoid kfc and also please avoid going WEDNESDAY they give old chicken which is Frozen for 2 to 3 days myself got food poison at this branch if u want to check see the chicken bone it will be black that is the old one I got food poison please don't go,please people avoid kfc also please avoid going wednesday they give old chicken which frozen days myself got food poison branch if u want check see chicken bone will be black old one i got food poison please dont go,Negative,40
KFC Madurai,Rooban Raj,1,3 months ago,I couldn't feel any taste in burger,i couldnt feel any taste burger,Negative,6
KFC Madurai,Ananth Kumar,1,2 years ago,"I ordered burgers and chicken buckets through app for pick up in KFC, No.61/4B,Byespass road, Madurai and i got one free chicken zinger burger as a compliment from KFC app! But during packing KFC staff of particular branch didnt pack the free burger and i didnt check the contents of my pick up package as a good faith! When i came to my home and i found the free burger is missing! I bought burgers as per kids(mine and my sisters) total count and now I couldn’t give a burger to one of my kid and its completely unacceptable and frustrating how they made fool out of me!! I am living 80 kms away from the particular branch and now how i will go and collect the damn burger? Its totally unacceptable!! Please check every damn order before leaving the counter!!",i ordered burgers chicken buckets through app pick up kfc nobbyespass road madurai i got one free chicken zinger burger as compliment from kfc app but during packing kfc staff particular branch didnt pack free burger i didnt check contents my pick up package as good faith when i came my home i found free burger missing i bought burgers as per kidsmine my sisters total count now i couldnt give burger one my kid its completely unacceptable frustrating how they made fool out me i am living kms away from particular branch now how i will go collect damn burger its totally unacceptable please check every damn order before leaving counter,Negative,112
KFC Madurai,Nakshatrah R K,1,11 months ago,My family and myself are greatly disappointed with the atmosphere over here . Soft drinks are spilled everywhere in the floor and the orders are not taken efficiently . There is no enough manpower. Kindly look into this issue.,my family myself greatly disappointed atmosphere over here soft drinks spilled everywhere floor orders not taken efficiently there no enough manpower kindly look into issue,Negative,25
KFC Madurai,RAMANAN RAMACHANDRAN,4,6 years ago,Good ambience and can accommodate 75 dine in at a time.kids can also. KFC is known for its taste.nothing to yell about ..have neat washrooms.,good ambience can accommodate dine timekids can also kfc known its tastenothing yell about have neat washrooms,Positive,17
KFC Madurai,senthil nath,1,a year ago,"I visited kfc and waited for order in queue with my 3 year old kid , the executive Ms subhasini informed she can't take order in counter and asked to wait for 5 mins. I waited long and no one even turned up to take my order. I had to leave with disappointment. Very worst customer service. Please improve customer service. Request you take appropriate action on concern staff.",i visited kfc waited order queue my year old kid executive ms subhasini informed she cant take order counter asked wait mins i waited long no one even turned up take my order i had leave disappointment very worst customer service please improve customer service request you take appropriate action concern staff,Negative,52
KFC Madurai,Naven kumar,2,7 months ago,"Worst experience had in this branch of KFC, no cleanliness no good service and worst maintained restroom",worst experience had branch kfc no cleanliness no good service worst maintained restroom,Negative,13
KFC Madurai,Sri Ram Palanichamy,4,4 years ago,Good all features and variety of kfc special food are available,good all features variety kfc special food available,Positive,8
KFC Madurai,Malar Vizhi,5,3 months ago,The food is worth but the price is high little bit,food worth but price high little bit,Positive,7
KFC Madurai,dts logu,5,4 years ago,"Madurai's best hangout place during evening time, this KFC is one of the best and oldest in Madurai, Good atmosphere and hygienic place to have good times with family and friends. Good quality of food and always little crowded in the evenings and weekends. A must visit place!!!",madurais best hangout place during evening time kfc one best oldest madurai good atmosphere hygienic place have good times family friends good quality food always little crowded evenings weekends must visit place,Positive,32
KFC Madurai,RUTH SAMLEE,3,9 months ago,"Was good but somewhat can feel raw smell
But taste wise everything is good",good but somewhat can feel raw smell but taste wise everything good,Neutral,12
KFC Madurai,Venkatesh RS,5,5 years ago,Madurai's first KFC. Everyone in the Madurai City delighted to crunch the chicken here. One of the best weekend out place,madurais first kfc everyone madurai city delighted crunch chicken here one best weekend out place,Positive,15
KFC Madurai,Imran khan b,1,8 months ago,"Very hygiene delivery point , warm welcome parking point (13.09.2025)11.30 am",very hygiene delivery point warm welcome parking point am,Negative,9
KFC Madurai,sarath kumar,5,5 months ago,Better avoid this KFC.. Taste totally different from other KFC..,better avoid kfc taste totally different from other kfc,Positive,9
